text,bias,confidence,source,timestamp
"Michael BirnbaumWhite House sharply lowers expectations for Trump-Putin summitTrump and aides previously suggested that a deal to end the Ukraine war could be close; now they’re calling Friday’s meeting with Putin a “listening exercise.”August 12, 2025",Left,0.5179644823074341,washington_post,20250814_154049
"Adam TaylorRubio recasts long-held beliefs with cuts to U.S. human rights reportsThe State Department’s annual human rights reports arrive a half-year late with significant cuts and little fanfare from America’s top diplomat.August 12, 2025",Left,0.502469003200531,washington_post,20250814_154049
"AnalysisAaron BlakeIn court, Trump team backs off its public deportation claims",Left,0.5212791562080383,washington_post,20250814_154049
"Mark BermanFederal appeals court clears DOGE to access sensitive records at agencies A panel of the U.S. Court of Appeals for the Fourth Circuit allowed Department of Government Efficiency access to data held by some federal agencies.August 12, 2025",Left,0.5211045145988464,washington_post,20250814_154049
"Victoria Craw and Victoria BissetHere’s what you need to know about the Trump-Putin summitThe talks in symbolically important Alaska are taking place despite Russian leader Vladimir Putin’s ceasefire refusals and without Ukraine’s Volodymyr Zelensky.August 14, 2025",Left,0.5082544684410095,washington_post,20250814_154049
"AnalysisAaron BlakeBefore Qatar plane controversy, Trump derided foreign gifts — and Qatar",Left,0.5110169053077698,washington_post,20250814_154049
"AnalysisAaron BlakeTrump’s diciest deportations, examined",Left,0.5088427066802979,washington_post,20250814_154049
"Annabelle Timsit, Patrick Marley and Yvonne Wingett SanchezFor Texas Democrats, fleeing to fight redistricting comes at a personal costThe lawmakers have faced bomb threats, separation from their families and loss of income — as Republicans threaten another special session to push redistricting.August 14, 2025",Left,0.510703444480896,washington_post,20250814_154049
"AnalysisDan Merica and Matthew ChoiThe one area where Donald Trump loves a criticThe Washington Post’s essential guide to power and influence in D.C. In today’s edition: Trump’s affinity for putting the “critics in charge of the criticized.”August 13, 2025",Left,0.512249767780304,washington_post,20250814_154049
"Hannah Knowles and Liz GoodwinSherrod Brown plans to run for Senate in Ohio againThe left-leaning populist could help Democrats, who face a difficult 2026 map, as they try to reclaim control of the Senate.August 12, 2025",Left,0.5001897811889648,washington_post,20250814_154049
Media Buzz,Left,0.5174387693405151,fox,20250814_154049
Fox News First,Left,0.5135416388511658,fox,20250814_154049
Fox News Politics,Left,0.5187317728996277,fox,20250814_154049
Elections Newsletter,Left,0.520312488079071,fox,20250814_154049
The Trump Administration,Left,0.5236063003540039,fox,20250814_154049
Capitol Hill,Left,0.5108595490455627,fox,20250814_154049
Special Report with Bret Baier,Left,0.5187694430351257,fox,20250814_154049
