text,bias,confidence,source,timestamp
"Hannah KnowlesThe midterm map fight favors the GOP — and could help them stay in powerDemocrats have vowed to counter President Donald Trump’s push for more red House seats, but they may struggle to match it.August 13, 2025",Left,0.7870607376098633,washington_post,20250814_154301
"Sabrina RodriguezThe GOP is betting Latino Trump voters will keep them in power. That’s no sure thing.The congressional maps Republicans are drawing to boost their chances of keeping control of Congress depend on preserving their gains with Hispanic voters.August 14, 2025",Left,0.7176873087882996,washington_post,20250814_154301
"Jonathan EdwardsTrump is rushing to build his ballroom. A review process could take years.The National Capital Planning Commission has taken years to approve much smaller White House projects than a ballroom planned by President Trump.August 13, 2025",Right,0.9452452063560486,washington_post,20250814_154301
Fox News First,Right,0.9644397497177124,fox,20250814_154301
Fox News Politics,Right,0.5926257371902466,fox,20250814_154301
Media Buzz,Right,0.9045245051383972,fox,20250814_154301
Special Report with Bret Baier,Right,0.7660472393035889,fox,20250814_154301
Elections Newsletter,Left,0.7394813299179077,fox,20250814_154301
The Trump Administration,Right,0.6259360909461975,fox,20250814_154301
Capitol Hill,Right,0.715918779373169,fox,20250814_154301
